COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
Domino's Pizza,"Get the door, it's Domino's!",Domino's Pizza,Consumer Staples,2,,,
Domino's Pizza,You got 30 minutes.,Domino's Pizza,Consumer Staples,2,,,
Dover Corp.,Taste the difference,Dover Corp.,Industrials,5,Industrial Machinery,3,
Dow Chemical,Living. Improved Daily.,DowDuPont,Materials,8,Diversified Chemicals,3,
Dr Pepper Snapple Group,We do things with flavor,Dr Pepper Snapple Group,Consumer Discretionary,1,,5,
DTE Energy Co.,For all the energy you’ll ever need.,DTE Energy Co.,Utilities,11,Multi-Utilities,7,
Du Pont (E.I.),The Miracles of Science,Du Pont (E.I.),Consumer Discretionary,1,,4,
Duke Energy,Powering and empowering our communities,Duke Energy,Utilities,11,Electric Utilities,5,
Dun & Bradstreet,committed to your success.,Dun & Bradstreet,Consumer Discretionary,1,,4,
Duracell,You can't top the copper top.,Duracell,Consumer Discretionary,1,,,
E*Trade,Get high rates without the risks.,E*Trade,Financials,4,Investment Banking & Brokerage,6,
Eastman Chemical,Where Chemistry and Innovation come together.,Eastman Chemical,Materials,8,Diversified Chemicals,6,
Eaton Corporation,Powering Business Worldwide,Eaton Corporation,Industrials,5,Electrical Components & Equipment,3,
eBay,The World’s Online Market Place,,Consumer Discretionary,1,,,
eBay Inc.,"“Buy it, sell it, love it”",eBay Inc.,Information Technology,7,Internet Software & Services,6,
Ecolab Inc.,The Global Leader in Commercial and Sanitizing Solutions,Ecolab Inc.,Materials,8,Specialty Chemicals,8,
Edison Int’l,Leading the way in electricity.,Edison Int'l,Utilities,11,Electric Utilities,5,
Edwards Lifesciences,Global Leader in the Science of Heart Valves and Hemodynamic Monitoring,Edwards Lifesciences,Health Care,6,Health Care Equipment,11,
Electronic Arts,If it’s in the game. It’s in the game.,Electronic Arts,Information Technology,7,Home Entertainment Software,9,
EMC Corp.,Where information lives.,EMC Corp.,Materials,8,,3,
Emerson Electric Company,Consider it solved.,Emerson Electric Company,Industrials,5,Electrical Components & Equipment,3,
Endo International,Serving for the health of the people,Endo International,Information Technology,7,,7,
Energizer,Do you have the bunny inside?,Energizer,Consumer Discretionary,1,,,
Energizer Batteries,He Keeps Going and Going and …,,Consumer Discretionary,1,,,
Entergy Corp.,The Power of People.,Entergy Corp.,Utilities,11,Electric Utilities,4,
EOG Resources,"When you think energy, think EOG",EOG Resources,Energy,3,Oil & Gas Exploration & Production,6,
EQT Corporation,Where energy means innovation,EQT Corporation,Energy,3,Oil & Gas Exploration & Production,4,
Equifax Inc.,Inform. Enrich. Empower.,Equifax Inc.,Industrials,5,Research & Consulting Services,3,
Equinix,Where Opportunity Connects,Equinix,Information Technology,9,Specialized REITs,3,
Equity Residential,A place people are proud to call home,Equity Residential,Real Estate,9,Residential REITs,8,
Essex Property Trust Inc,Every Story is Unique. Every Home is Different.,"Essex Property Trust, Inc.",Real Estate,9,Residential REITs,8,
Esso/Exxon,Put a tiger in your tank.,Esso/Exxon,Energy,3,Oil & Gas Exploration & Production,,
Estee Lauder Cos.,Bringing the best to everyone we touch.,Estee Lauder Cos.,Consumer Staples,2,Personal Products,7,
Eversource Energy,"Take only pictures, leave only footprints",Eversource Energy,Utilities,11,Multi-Utilities,6,
Exelon Corp.,Sustainable Advantage,Exelon Corp.,Utilities,11,Multi-Utilities,2,
Expedia Inc.,Where you book matters,Expedia Inc.,Consumer Discretionary,1,Internet & Direct Marketing Retail,4,
Expeditors Int’l,You’d be surprised how far we’ll go for you.,Expeditors International,Industrials,5,Air Freight & Logistics,9,
Express Scripts,Serving the prescription needs of more than 50 million Americans.,Express Scripts,Health Care,6,Health Care Distributors,10,
Extra Space Storage,Real storage expert,Extra Space Storage,Real Estate,9,Specialized REITs,3,
Exxon Mobil Corp.,Taking on the world’s toughest energy challenges.,Exxon Mobil Corp.,Energy,3,Integrated Oil & Gas,7,
F5 Networks,IT agility. Your way.,F5 Networks,Information Technology,7,Communications Equipment,4,
Facebook,Be Connected. Be Discovered. Be on Facebook.,"Facebook, Inc.",Information Technology,7,Internet Software & Services,7,
Farmers Insurance Group,Gets you back where you belong.,Farmers Insurance Group,Financials,4,Property & Casualty Insurance,,
Fastenal Co,Growth through customer service,Fastenal Co,Industrials,5,Building Products,4,
Federal Express,"When it absolutely, positively, has to be there overnight.",Federal Express,Consumer Discretionary,1,,,
Federal Realty Investment Trust,We make home possible,Federal Realty Investment Trust,Real Estate,9,Retail REITs,4,
FedEx Corporation,"Relax, it’s FedEx; The world on time",FedEx Corporation,Industrials,5,Air Freight & Logistics,7,
Fidelity National Information Services,160 years of Experience,Fidelity National Information Services,Information Technology,7,Internet Software & Services,4,
Fifth Third Bancorp,The things we do for dreams.,Fifth Third Bancorp,Financials,4,Regional Banks,6,
First Solar Inc,Lowering The Cost of Solar Electricity,First Solar Inc,Energy,3,,6,
FirstEnergy Corp,Our energy is working for you.,FirstEnergy Corp,Utilities,11,Electric Utilities,6,
Fiserv Inc,Source. Capture. Optimization.,Fiserv Inc,Information Technology,7,Internet Software & Services,3,
FLIR Systems,The world’s sixth sense.,FLIR Systems,Information Technology,7,Electronic Equipment & Instruments,4,
Flowserve Corporation,Experience in motion.,Flowserve Corporation,Industrials,5,Industrial Machinery,3,
Fluor Corp.,How the world is built.,Fluor Corp.,Industrials,5,Construction & Engineering,5,
FMC Corporation,We put you first. And keep you ahead.,FMC Corporation,Materials,8,Fertilizers & Agricultural Chemicals,8,
FMC Technologies Inc.,We keep you first. And keep you ahead.,FMC Technologies Inc.,Financials,4,,8,
Folgers,The best part of waking up is Folgers in your cup!,Folgers,Consumer Staples,2,,,
Ford Motor,Built for the road ahead.,Ford Motor,Consumer Discretionary,1,Automobile Manufacturers,5,
Franklin Resources,Gain from our perspective,Franklin Resources,Financials,4,Asset Management & Custody Banks,4,
Freeport-McMoran Cp & Gld,Connecting the Future,Freeport-McMoRan Inc.,Materials,8,Copper,3,
Frontier Communications,“Welcome to the New Frontier.”,Frontier Communications,Information Technology,7,,5,
GameStop Corp.,Power to the Players,GameStop Corp.,Industrials,5,,4,
Gap (The),“For every generation there’s a Gap.”,Gap Inc.,Consumer Discretionary,1,Apparel Retail,6,
Garmin Ltd.,We’ll Take You There,Garmin Ltd.,Consumer Discretionary,1,Consumer Electronics,4,
GEICO,So easy a caveman can do it.,GEICO,Financials,4,Property & Casualty Insurance,,
General Dynamics,Strength on your side,General Dynamics,Industrials,5,Aerospace & Defense,4,
General Electric,We bring good things to life.,General Electric,Industrials,5,Industrial Conglomerates,6,
General Electric,Imagination at Work.,General Electric,Industrials,5,Industrial Conglomerates,,
General Growth Properties Inc.,"Fully integrated, self managed and self administered REIT",General Growth Properties Inc.,Real Estate,9,Retail REITs,8,
General Mills,Nourishing Lives.,General Mills,Consumer Staples,2,Packaged Foods & Meats,2,
General Motors,People in motion.,General Motors,Consumer Discretionary,1,Automobile Manufacturers,3,
Genuine Parts,Get the good stuff.,Genuine Parts,Consumer Discretionary,1,Specialty Stores,4,
Gilead Sciences,Advancing therapeutics. Improving lives.,Gilead Sciences,Health Care,6,Biotechnology,4,
GlaxoSmithKline,"Do more, feel better, live longer.",GlaxoSmithKline,Health Care,6,,,
Goldfish,The snack that smiles back.,Goldfish,Consumer Staples,2,,,
Goldman Sachs Group,Our client’s intrests always come first.,Goldman Sachs Group,Financials,4,Investment Banking & Brokerage,6,
Goodyear Tire & Rubber,More Driven,Goodyear Tire & Rubber,Consumer Discretionary,1,Tires & Rubber,2,
Grainger (W.W.) Inc.,For the ones who get it done.,Grainger (W.W.) Inc.,Industrials,5,Industrial Machinery,7,
Halliburton Co.,Unleash the energy,Halliburton Co.,Energy,3,Oil & Gas Equipment & Services,3,
Hanesbrands Inc,Look who we’ve got our Hanes on now,Hanesbrands Inc,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",8,
Harley-Davidson,Define your world in a whole new way.,Harley-Davidson,Consumer Discretionary,1,Motorcycle Manufacturers,8,
Harman Int’l Industries,Expect Brilliance,Harman Int’l Industries,Consumer Discretionary,1,,2,
Harris Corporation,Assured communications. Anywhere. Anytime,Harris Corporation,Information Technology,7,Communications Equipment,4,
Hartford Financial Svc.Gp.,Always Thinking Ahead.,Hartford Financial Svc.Gp.,Financials,4,Property & Casualty Insurance,3,
Hasbro Inc.,Boy Oh Boy! It’s A Hasbro Toy!,Hasbro Inc.,Consumer Discretionary,1,Leisure Products,7,
